date,open,high,low,close,volume,S1,S2,R1,R2,BC,TC,pivot,PDH,PDL,WS1,WS2,WR1,WR2,Wpivot,MS1,MS2,MR1,MR2,Mpivot
2021-02-23,419.3,419.35,414.3,415.95,3039863,,,,,,,,,,,,,,,,,,,
2021-02-24,417.7,425.8,414.8,423.9,5030141,413.72,411.48,418.77,421.58,416.83,416.24,416.53,419.35,414.3,,,,,,,,,,
2021-02-25,423.1,429.0,420.5,421.3,9050249,417.2,410.5,428.2,432.5,420.3,422.7,421.5,425.8,414.8,,,,,,,,,,
2021-02-26,417.95,419.85,408.0,409.0,11681911,418.2,415.1,426.7,432.1,424.75,422.45,423.6,429.0,420.5,,,,,,,,,,
2021-03-01,411.0,418.7,409.2,416.0,11368682,404.72,400.43,416.57,424.13,413.92,410.64,412.28,419.85,408.0,401.67,394.33,422.67,436.33,415.33,401.67,394.33,422.67,436.33,415.33
2021-03-02,419.7,433.1,418.3,433.0,14846096,410.57,405.13,420.07,424.13,413.95,415.32,414.63,418.7,409.2,401.67,394.33,422.67,436.33,415.33,401.67,394.33,422.67,436.33,415.33
