date,open,high,low,close,volume,S1,S2,R1,R2,BC,TC,pivot,PDH,PDL,WS1,WS2,WR1,WR2,Wpivot,MS1,MS2,MR1,MR2,Mpivot
2021-06-25,34916.7,35491.9,34915.8,35334.1,1,,,,,,,,,,,,,,,,,,,
2021-06-28,35488.2,35575.3,35236.9,35402.8,1,35002.63,34671.17,35578.73,35823.37,35203.85,35290.68,35247.27,35491.9,34915.8,35002.63,34671.17,35578.73,35823.37,35247.27,,,,,
2021-06-29,35320.4,35329.8,34913.7,34997.9,1,35234.7,35066.6,35573.1,35743.4,35406.1,35403.9,35405.0,35575.3,35236.9,35002.63,34671.17,35578.73,35823.37,35247.27,,,,,
2021-06-30,35001.9,35214.9,34730.4,34770.8,0,34831.13,34664.37,35247.23,35496.57,35121.75,35039.18,35080.47,35329.8,34913.7,35002.63,34671.17,35578.73,35823.37,35247.27,,,,,
2021-07-01,34866.0,34917.7,34650.9,34721.3,1,34595.83,34420.87,35080.33,35389.87,34972.65,34838.08,34905.37,35214.9,34730.4,35002.63,34671.17,35578.73,35823.37,35247.27,34475.7,34180.6,35320.6,35870.4,35025.5
2021-07-02,34728.1,34894.4,34632.6,34809.9,86,34608.9,34496.5,34875.7,35030.1,34784.3,34742.3,34763.3,34917.7,34650.9,35002.63,34671.17,35578.73,35823.37,35247.27,34475.7,34180.6,35320.6,35870.4,35025.5
2021-07-05,35010.9,35234.3,34926.4,35222.1,1,34663.53,34517.17,34925.33,35040.77,34763.5,34794.43,34778.97,34894.4,34632.6,34436.57,34063.23,35379.27,35948.63,35005.93,34475.7,34180.6,35320.6,35870.4,35025.5
2021-07-06,35173.6,35807.4,35165.6,35525.8,1,35020.9,34819.7,35328.8,35435.5,35080.35,35174.85,35127.6,35234.3,34926.4,34436.57,34063.23,35379.27,35948.63,35005.93,34475.7,34180.6,35320.6,35870.4,35025.5
2021-07-07,35550.6,35795.8,35427.7,35771.3,0,35191.8,34857.8,35833.6,36141.4,35486.5,35512.7,35499.6,35807.4,35165.6,34436.57,34063.23,35379.27,35948.63,35005.93,34475.7,34180.6,35320.6,35870.4,35025.5
2021-07-08,35603.3,35811.0,35134.7,35282.9,0,35534.07,35296.83,35902.17,36033.03,35611.75,35718.12,35664.93,35795.8,35427.7,34436.57,34063.23,35379.27,35948.63,35005.93,34475.7,34180.6,35320.6,35870.4,35025.5
2021-07-09,35163.8,35225.2,34859.9,35071.9,1,35008.07,34733.23,35684.37,36085.83,35472.85,35346.22,35409.53,35811.0,35134.7,34436.57,34063.23,35379.27,35948.63,35005.93,34475.7,34180.6,35320.6,35870.4,35025.5
2021-07-12,35285.1,35394.3,35060.3,35196.8,1,34879.47,34687.03,35244.77,35417.63,35042.55,35062.12,35052.33,35225.2,34859.9,34684.2,34296.5,35635.3,36198.7,35247.6,34475.7,34180.6,35320.6,35870.4,35025.5
2021-07-13,35480.1,35727.8,35340.7,35641.8,1,35039.97,34883.13,35373.97,35551.13,35227.3,35206.97,35217.13,35394.3,35060.3,34684.2,34296.5,35635.3,36198.7,35247.6,34475.7,34180.6,35320.6,35870.4,35025.5
2021-07-14,35585.8,35804.1,35434.8,35644.5,1,35412.4,35183.0,35799.5,35957.2,35534.25,35605.95,35570.1,35727.8,35340.7,34684.2,34296.5,35635.3,36198.7,35247.6,34475.7,34180.6,35320.6,35870.4,35025.5
2021-07-15,35757.4,35985.3,35625.7,35894.9,0,35451.5,35258.5,35820.8,35997.1,35619.45,35636.15,35627.8,35804.1,35434.8,34684.2,34296.5,35635.3,36198.7,35247.6,34475.7,34180.6,35320.6,35870.4,35025.5
2021-07-16,35977.9,35977.9,35674.8,35752.1,373,35685.3,35475.7,36044.9,36194.9,35805.5,35865.1,35835.3,35985.3,35625.7,34684.2,34296.5,35635.3,36198.7,35247.6,34475.7,34180.6,35320.6,35870.4,35025.5
2021-07-19,35070.5,35347.1,34899.2,35095.6,1,35625.3,35498.5,35928.4,36104.7,35826.35,35776.85,35801.6,35977.9,35674.8,35213.17,34674.23,36138.17,36524.23,35599.23,34475.7,34180.6,35320.6,35870.4,35025.5
2021-07-20,34791.2,34894.2,34357.3,34419.6,0,34880.83,34666.07,35328.73,35561.87,35123.15,35104.78,35113.97,35347.1,34899.2,35213.17,34674.23,36138.17,36524.23,35599.23,34475.7,34180.6,35320.6,35870.4,35025.5
2021-07-22,34774.6,34989.1,34557.8,34705.5,0,34219.87,34020.13,34756.77,35093.93,34625.75,34488.32,34557.03,34894.2,34357.3,35213.17,34674.23,36138.17,36524.23,35599.23,34475.7,34180.6,35320.6,35870.4,35025.5
